Date,High,Low,Close
12/31/2024 00:00,57.0,-174.0,22.0
12/30/2024 23:30,258.0,-11.0,207.0
12/30/2024 23:00,59.0,-230.0,-144.0
12/30/2024 21:30,13.0,-229.0,-197.0
12/30/2024 21:00,21.0,-109.0,3.0
12/30/2024 20:30,125.0,-79.0,-54.0
12/30/2024 20:00,239.0,-75.0,98.0
12/30/2024 19:30,402.0,-14.0,282.0
12/30/2024 19:00,37.0,-265.0,-192.0
12/30/2024 18:30,175.0,-157.0,104.0
12/30/2024 18:00,125.0,-150.0,-26.0
12/30/2024 17:30,238.0,-177.0,210.0
12/30/2024 17:00,404.0,0.0,314.0
12/30/2024 16:30,420.0,0.0,327.0
12/30/2024 16:00,135.0,-538.0,-508.0
12/30/2024 15:30,186.0,-296.0,-120.0
12/30/2024 15:00,0.0,-1087.0,-876.0
12/30/2024 14:30,0.0,-670.0,-74.0
12/30/2024 14:00,720.0,-129.0,565.0
12/30/2024 13:30,50.0,-1528.0,-1513.0
12/30/2024 13:00,121.0,-326.0,47.0
12/30/2024 12:30,392.0,-110.0,304.0
12/30/2024 12:00,221.0,-81.0,213.0
12/30/2024 11:30,275.0,-160.0,24.0
12/30/2024 11:00,595.0,-153.0,545.0
12/30/2024 10:30,37.0,-365.0,-363.0
12/30/2024 10:00,258.0,-29.0,164.0
12/30/2024 09:30,121.0,-417.0,-345.0
12/30/2024 09:00,425.0,-76.0,422.0
12/30/2024 08:30,103.0,-558.0,-295.0
12/30/2024 08:00,52.0,-232.0,-196.0
12/30/2024 07:30,30.0,-326.0,-201.0
12/30/2024 07:00,84.0,-221.0,-3.0
12/30/2024 06:30,0.0,-490.0,-375.0
12/30/2024 06:00,98.0,-168.0,-59.0
12/30/2024 05:30,128.0,-215.0,98.0
12/30/2024 05:00,211.0,-59.0,50.0
12/30/2024 04:30,29.0,-208.0,-137.0
12/30/2024 04:00,0.0,-318.0,-299.0
12/30/2024 03:30,109.0,-164.0,-57.0
12/30/2024 03:00,410.0,-71.0,332.0
12/30/2024 02:30,146.0,-75.0,10.0
12/30/2024 02:00,38.0,-169.0,-22.0
12/30/2024 01:30,130.0,-155.0,-147.0
12/30/2024 01:00,402.0,-15.0,321.0
12/30/2024 00:30,9.0,-302.0,-194.0
12/30/2024 00:00,109.0,-117.0,15.0
12/29/2024 23:30,237.0,-120.0,41.0
12/29/2024 23:00,621.0,-42.0,385.0
12/27/2024 21:00,40.0,-11.0,-2.0
12/27/2024 20:30,395.0,-27.0,236.0
12/27/2024 20:00,33.0,-755.0,-741.0
12/27/2024 19:30,292.0,-15.0,201.0
12/27/2024 19:00,39.0,-119.0,1.0
12/27/2024 18:30,325.0,-3.0,166.0
12/27/2024 18:00,209.0,-77.0,102.0
12/27/2024 17:30,46.0,-192.0,-12.0
12/27/2024 17:00,39.0,-295.0,-193.0
12/27/2024 16:30,63.0,-224.0,-111.0
12/27/2024 16:00,133.0,-273.0,84.0
12/27/2024 15:30,460.0,-187.0,331.0
12/27/2024 15:00,268.0,-196.0,-78.0
12/27/2024 14:30,341.0,-319.0,66.0
12/27/2024 14:00,88.0,-419.0,-335.0
12/27/2024 13:30,212.0,-253.0,-176.0
12/27/2024 13:00,71.0,-650.0,-588.0
12/27/2024 12:30,143.0,-259.0,-196.0
12/27/2024 12:00,280.0,-96.0,-62.0
12/27/2024 11:30,267.0,-50.0,249.0
12/27/2024 11:00,72.0,-152.0,-41.0
12/27/2024 10:30,110.0,-367.0,-46.0
12/27/2024 10:00,310.0,-38.0,310.0
12/27/2024 09:30,0.0,-351.0,-295.0
12/27/2024 09:00,160.0,-101.0,96.0
12/27/2024 08:30,47.0,-341.0,-330.0
12/27/2024 08:00,1.0,-583.0,-402.0
12/27/2024 07:30,189.0,-318.0,-276.0
12/27/2024 07:00,309.0,-71.0,200.0
12/27/2024 06:30,55.0,-266.0,-178.0
12/27/2024 06:00,553.0,-8.0,527.0
12/27/2024 05:30,47.0,-234.0,-222.0
12/27/2024 05:00,77.0,-79.0,9.0
12/27/2024 04:30,129.0,-34.0,77.0
12/27/2024 04:00,3.0,-189.0,-98.0
12/27/2024 03:30,271.0,-14.0,108.0
12/27/2024 03:00,53.0,-143.0,-19.0
12/27/2024 02:30,330.0,-145.0,269.0
12/27/2024 02:00,0.0,-264.0,-226.0
12/27/2024 01:30,237.0,-57.0,103.0
12/27/2024 01:00,243.0,-75.0,-22.0
12/27/2024 00:30,47.0,-109.0,-105.0
12/27/2024 00:00,147.0,-97.0,-8.0
12/26/2024 23:30,205.0,-98.0,12.0
12/26/2024 23:00,83.0,-114.0,-29.0
12/26/2024 21:30,18.0,-92.0,-71.0
12/26/2024 21:00,1.0,-124.0,-36.0
12/26/2024 20:30,22.0,-187.0,-126.0
12/26/2024 20:00,133.0,-60.0,63.0
12/26/2024 19:30,175.0,-58.0,68.0
12/26/2024 19:00,14.0,-189.0,-33.0
12/26/2024 18:30,89.0,-152.0,-42.0
12/26/2024 18:00,641.0,0.0,592.0
12/26/2024 17:30,204.0,-68.0,66.0
12/26/2024 17:00,3.0,-375.0,-343.0
12/26/2024 16:30,43.0,-187.0,-125.0
12/26/2024 16:00,3.0,-381.0,-330.0
12/26/2024 15:30,377.0,-60.0,100.0
12/26/2024 15:00,595.0,-102.0,516.0
12/26/2024 14:30,381.0,-177.0,361.0
12/26/2024 14:00,431.0,-51.0,370.0
12/26/2024 13:30,16.0,-625.0,-504.0
12/26/2024 13:00,432.0,0.0,117.0
12/26/2024 12:30,106.0,-59.0,56.0
12/26/2024 12:00,66.0,-330.0,-160.0
12/26/2024 11:30,49.0,-170.0,-145.0
12/26/2024 11:00,124.0,-87.0,49.0
12/26/2024 10:30,193.0,-41.0,133.0
12/26/2024 10:00,130.0,-69.0,1.0
12/26/2024 09:30,206.0,-38.0,123.0
12/26/2024 09:00,73.0,-148.0,-122.0
12/26/2024 08:30,60.0,-239.0,6.0
12/26/2024 08:00,368.0,-10.0,190.0
12/26/2024 07:30,125.0,-108.0,81.0
12/26/2024 07:00,344.0,-201.0,-139.0
12/26/2024 06:30,10.0,-219.0,-114.0
12/26/2024 06:00,95.0,-192.0,65.0
12/26/2024 05:30,109.0,-81.0,-59.0
12/26/2024 05:00,46.0,-123.0,-26.0
12/26/2024 04:30,186.0,-56.0,-14.0
12/26/2024 04:00,127.0,-69.0,33.0
12/26/2024 03:30,222.0,-60.0,72.0
12/26/2024 03:00,149.0,-159.0,-149.0
12/26/2024 02:30,167.0,-60.0,122.0
12/26/2024 02:00,32.0,-97.0,-74.0
12/26/2024 01:30,183.0,-15.0,84.0
12/26/2024 01:00,483.0,-61.0,435.0
12/26/2024 00:30,278.0,-22.0,149.0
12/26/2024 00:00,184.0,0.0,182.0
12/25/2024 23:30,26.0,-195.0,-127.0
12/25/2024 23:00,455.0,-150.0,418.0
12/24/2024 18:30,73.0,-75.0,-20.0
12/24/2024 18:00,83.0,-225.0,-34.0
12/24/2024 17:30,4.0,-319.0,-214.0
12/24/2024 17:00,355.0,-66.0,331.0
12/24/2024 16:30,203.0,-8.0,17.0
12/24/2024 16:00,452.0,-27.0,392.0
12/24/2024 15:30,71.0,-213.0,-58.0
12/24/2024 15:00,256.0,-97.0,135.0
12/24/2024 14:30,52.0,-611.0,-545.0
12/24/2024 14:00,294.0,-70.0,212.0
12/24/2024 13:30,138.0,-194.0,106.0
12/24/2024 13:00,104.0,-118.0,-62.0
12/24/2024 12:30,141.0,-168.0,-61.0
12/24/2024 12:00,127.0,-150.0,-84.0
12/24/2024 11:30,280.0,-82.0,181.0
12/24/2024 11:00,75.0,-275.0,-222.0
12/24/2024 10:30,21.0,-247.0,-138.0
12/24/2024 10:00,426.0,-60.0,340.0
12/24/2024 09:30,91.0,-185.0,-148.0
12/24/2024 09:00,103.0,-353.0,-197.0
12/24/2024 08:30,97.0,-168.0,-101.0
12/24/2024 08:00,144.0,-110.0,3.0
12/24/2024 07:30,36.0,-268.0,-231.0
12/24/2024 07:00,256.0,-21.0,184.0
12/24/2024 06:30,214.0,-71.0,140.0
12/24/2024 06:00,37.0,-293.0,-154.0
12/24/2024 05:30,185.0,-53.0,47.0
12/24/2024 05:00,124.0,-162.0,-158.0
12/24/2024 04:30,174.0,-25.0,166.0
12/24/2024 04:00,88.0,-57.0,-16.0
12/24/2024 03:30,200.0,-39.0,200.0
12/24/2024 03:00,107.0,-133.0,-17.0
12/24/2024 02:30,149.0,-182.0,-144.0
12/24/2024 02:00,162.0,-17.0,78.0
12/24/2024 01:30,272.0,0.0,229.0
12/24/2024 01:00,113.0,-240.0,-163.0
12/24/2024 00:30,296.0,-116.0,223.0
12/24/2024 00:00,65.0,-138.0,-113.0
12/23/2024 23:30,136.0,-135.0,-10.0
12/23/2024 23:00,312.0,-14.0,299.0
12/23/2024 21:30,115.0,-8.0,-2.0
12/23/2024 21:00,178.0,-76.0,158.0
12/23/2024 20:30,56.0,-216.0,-32.0
12/23/2024 20:00,146.0,-43.0,-3.0
12/23/2024 19:30,125.0,-72.0,98.0
12/23/2024 19:00,215.0,-24.0,-3.0
12/23/2024 18:30,120.0,-131.0,-83.0
12/23/2024 18:00,156.0,-81.0,21.0
12/23/2024 17:30,22.0,-334.0,-293.0
12/23/2024 17:00,91.0,-303.0,-176.0
12/23/2024 16:30,393.0,-75.0,350.0
12/23/2024 16:00,325.0,-153.0,249.0
12/23/2024 15:30,306.0,-188.0,-130.0
12/23/2024 15:00,81.0,-591.0,-467.0
12/23/2024 14:30,88.0,-427.0,-220.0
12/23/2024 14:00,268.0,-21.0,43.0
12/23/2024 13:30,438.0,-63.0,195.0
12/23/2024 13:00,287.0,-114.0,58.0
12/23/2024 12:30,0.0,-289.0,-178.0
12/23/2024 12:00,233.0,-73.0,36.0
12/23/2024 11:30,63.0,-325.0,3.0
12/23/2024 11:00,66.0,-310.0,-295.0
12/23/2024 10:30,55.0,-433.0,-386.0
12/23/2024 10:00,64.0,-343.0,-296.0
12/23/2024 09:30,59.0,-341.0,-292.0
12/23/2024 09:00,104.0,-208.0,-20.0
12/23/2024 08:30,216.0,-107.0,-8.0
12/23/2024 08:00,54.0,-401.0,5.0
12/23/2024 07:30,159.0,-135.0,-50.0
12/23/2024 07:00,164.0,-143.0,-96.0
12/23/2024 06:30,448.0,-10.0,316.0
12/23/2024 06:00,246.0,-227.0,174.0
12/23/2024 05:30,187.0,-61.0,-61.0
12/23/2024 05:00,212.0,-59.0,191.0
12/23/2024 04:30,119.0,-82.0,27.0
12/23/2024 04:00,219.0,-35.0,98.0
12/23/2024 03:30,128.0,-197.0,-23.0
12/23/2024 03:00,95.0,-257.0,-176.0
12/23/2024 02:30,322.0,-63.0,166.0
12/23/2024 02:00,562.0,-12.0,370.0
12/23/2024 01:30,360.0,-66.0,102.0
12/23/2024 01:00,258.0,-294.0,-187.0
12/23/2024 00:30,46.0,-533.0,-117.0
12/23/2024 00:00,95.0,-246.0,-161.0
12/22/2024 23:30,218.0,-75.0,162.0
12/22/2024 23:00,1236.0,-419.0,-158.0
12/20/2024 21:00,63.0,-22.0,-1.0
12/20/2024 20:30,0.0,-473.0,-411.0
12/20/2024 20:00,14.0,-229.0,-119.0
12/20/2024 19:30,207.0,-68.0,64.0
12/20/2024 19:00,233.0,-111.0,119.0
12/20/2024 18:30,239.0,-154.0,125.0
12/20/2024 18:00,116.0,-164.0,-63.0
12/20/2024 17:30,150.0,-330.0,13.0
12/20/2024 17:00,236.0,-63.0,53.0
12/20/2024 16:30,362.0,-92.0,179.0
12/20/2024 16:00,159.0,-748.0,-704.0
12/20/2024 15:30,661.0,0.0,580.0
12/20/2024 15:00,892.0,-80.0,727.0
12/20/2024 14:30,310.0,-226.0,189.0
12/20/2024 14:00,674.0,-96.0,544.0
12/20/2024 13:30,1327.0,-66.0,881.0
12/20/2024 13:00,154.0,-283.0,-283.0
12/20/2024 12:30,60.0,-322.0,-194.0
12/20/2024 12:00,244.0,-142.0,200.0
12/20/2024 11:30,332.0,-54.0,211.0
12/20/2024 11:00,42.0,-414.0,-267.0
12/20/2024 10:30,53.0,-190.0,-181.0
12/20/2024 10:00,201.0,-92.0,111.0
12/20/2024 09:30,221.0,-128.0,54.0
12/20/2024 09:00,88.0,-186.0,-124.0
12/20/2024 08:30,167.0,-163.0,-31.0
12/20/2024 08:00,133.0,-204.0,-61.0
12/20/2024 07:30,22.0,-357.0,21.0
12/20/2024 07:00,274.0,-131.0,143.0
12/20/2024 06:30,162.0,-168.0,103.0
12/20/2024 06:00,406.0,-149.0,347.0
12/20/2024 05:30,458.0,-23.0,364.0
12/20/2024 05:00,86.0,-158.0,-132.0
12/20/2024 04:30,4.0,-199.0,-136.0
12/20/2024 04:00,253.0,-34.0,81.0
12/20/2024 03:30,96.0,-160.0,37.0
12/20/2024 03:00,131.0,-128.0,125.0
12/20/2024 02:30,144.0,-124.0,-17.0
12/20/2024 02:00,25.0,-839.0,-666.0
12/20/2024 01:30,544.0,-101.0,538.0
12/20/2024 01:00,863.0,-113.0,763.0
12/20/2024 00:30,159.0,-313.0,-310.0
12/20/2024 00:00,103.0,-124.0,32.0
12/19/2024 23:30,85.0,-217.0,-79.0
12/19/2024 23:00,111.0,-87.0,-40.0
12/19/2024 21:30,154.0,-161.0,-62.0
12/19/2024 21:00,7.0,-375.0,-170.0
12/19/2024 20:30,198.0,-187.0,-161.0
12/19/2024 20:00,250.0,-14.0,140.0
12/19/2024 19:30,325.0,-113.0,-101.0
12/19/2024 19:00,112.0,-272.0,-195.0
12/19/2024 18:30,695.0,-38.0,681.0
12/19/2024 18:00,268.0,-79.0,17.0
12/19/2024 17:30,75.0,-252.0,-50.0
12/19/2024 17:00,239.0,-113.0,132.0
12/19/2024 16:30,415.0,-92.0,-28.0
12/19/2024 16:00,517.0,-96.0,402.0
12/19/2024 15:30,182.0,-351.0,-182.0
12/19/2024 15:00,329.0,-256.0,-236.0
12/19/2024 14:30,447.0,-449.0,-379.0
12/19/2024 14:00,359.0,-167.0,14.0
12/19/2024 13:30,142.0,-768.0,-654.0
12/19/2024 13:00,0.0,-555.0,-332.0
12/19/2024 12:30,73.0,-899.0,-712.0
12/19/2024 12:00,5.0,-493.0,-326.0
12/19/2024 11:30,53.0,-276.0,-198.0
12/19/2024 11:00,260.0,-54.0,-49.0
12/19/2024 10:30,496.0,-351.0,-203.0
12/19/2024 10:00,183.0,-319.0,107.0
12/19/2024 09:30,262.0,-96.0,19.0
12/19/2024 09:00,323.0,0.0,182.0
12/19/2024 08:30,252.0,-303.0,187.0
12/19/2024 08:00,157.0,-331.0,9.0
12/19/2024 07:30,242.0,-382.0,-302.0
12/19/2024 07:00,956.0,-103.0,660.0
12/19/2024 06:30,511.0,0.0,380.0
12/19/2024 06:00,248.0,-416.0,178.0
12/19/2024 05:30,82.0,-297.0,-232.0
12/19/2024 05:00,120.0,-112.0,44.0
12/19/2024 04:30,93.0,-194.0,35.0
12/19/2024 04:00,113.0,-331.0,-146.0
12/19/2024 03:30,327.0,0.0,136.0
12/19/2024 03:00,131.0,-430.0,-371.0
12/19/2024 02:30,354.0,-426.0,163.0
12/19/2024 02:00,151.0,-254.0,-140.0
12/19/2024 01:30,1368.0,-41.0,758.0
12/19/2024 01:00,1018.0,-214.0,912.0
12/19/2024 00:30,352.0,-76.0,174.0
12/19/2024 00:00,565.0,-22.0,532.0
12/18/2024 23:30,100.0,-404.0,-242.0
12/18/2024 23:00,862.0,-98.0,685.0
12/18/2024 21:30,0.0,-632.0,-466.0
12/18/2024 21:00,290.0,-278.0,-258.0
12/18/2024 20:30,86.0,-871.0,-367.0
12/18/2024 20:00,458.0,-889.0,-879.0
12/18/2024 19:30,449.0,-1576.0,-1535.0
12/18/2024 19:00,0.0,-2063.0,-1615.0
